2026-04-22 16:09:23,017 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:23,017 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=28000, chunk_rows=1000
2026-04-22 16:09:23,681 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:23,681 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=29000, chunk_rows=1000
2026-04-22 16:09:24,314 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:24,314 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=30000, chunk_rows=1000
2026-04-22 16:09:24,961 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:24,961 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=31000, chunk_rows=1000
2026-04-22 16:09:25,601 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:25,601 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=32000, chunk_rows=1000
2026-04-22 16:09:26,240 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:26,240 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=33000, chunk_rows=1000
2026-04-22 16:09:26,877 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:26,877 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=34000, chunk_rows=1000
2026-04-22 16:09:27,499 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:27,499 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=35000, chunk_rows=1000
